dataset_id,specimen_key,task,iou,recall,relative_area_error,failure_types
74t7kcdgkr,74t7kcdgkr:c8-24,CHARACTERIZE,0.004215377697841726,0.010209637898175878,0.4322080043561122,
74t7kcdgkr,74t7kcdgkr:c8-41,CHARACTERIZE,0.18970785967485637,0.2909636295463067,0.17529058867641545,
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,0.2629046937979457,0.6043036461446504,0.9028690974297668,
74t7kcdgkr,74t7kcdgkr:c8-7,CHARACTERIZE,0.1785287081339713,0.5302895718600107,1.5006217800675075,
cgtnjyggtm,cgtnjyggtm:q24-21,CHARACTERIZE,0.2081381115191423,0.5719886785449146,1.3201095025983667,
cgtnjyggtm,cgtnjyggtm:q24-37,CHARACTERIZE,0.0742651144896767,0.38974052194720704,3.6377028340686457,
cgtnjyggtm,cgtnjyggtm:q24-40,CHARACTERIZE,0.42700953016031784,0.7868974168608075,0.6297073807634214,
cgtnjyggtm,cgtnjyggtm:q24-8,CHARACTERIZE,0.3965613508153796,0.5789739985945186,0.0389599437807449,
w68dtmpfyf,w68dtmpfyf:q16-21,CHARACTERIZE,0.13276971628353082,0.7031954117165097,3.9995493650143383,
w68dtmpfyf,w68dtmpfyf:q16-3,CHARACTERIZE,0.19380763851022972,0.5039918621497488,1.1044665700810703,
w68dtmpfyf,w68dtmpfyf:q16-31,CHARACTERIZE,0.4762509424229197,0.608065660147938,0.11515857736346134,
w68dtmpfyf,w68dtmpfyf:q16-36,CHARACTERIZE,0.2252051114499383,0.5627523019004853,1.061595681952193,
xcmzfsbd9t,xcmzfsbd9t:c24-20,CHARACTERIZE,0.14557988645579886,0.2469050894085282,0.057083906464924346,
xcmzfsbd9t,xcmzfsbd9t:c24-39,CHARACTERIZE,0.08132456529743531,0.5002010709674688,4.650877304379114,
xcmzfsbd9t,xcmzfsbd9t:c24-49,CHARACTERIZE,0.1549664078529187,0.2808194211562295,0.09295035357585478,
xcmzfsbd9t,xcmzfsbd9t:c24-54,CHARACTERIZE,0.04923048170057856,0.48489335307535314,8.334347112729601,
yfxyg8jm46,yfxyg8jm46:c16-15,CHARACTERIZE,0.027244735250453622,0.03739481528998906,0.5900532055394136,
yfxyg8jm46,yfxyg8jm46:c16-19,CHARACTERIZE,0.6379244039116581,0.7354869358669833,0.11157561361836896,
yfxyg8jm46,yfxyg8jm46:c16-38,CHARACTERIZE,0.2983535371811109,0.45173956716281616,0.034152132225367546,
yfxyg8jm46,yfxyg8jm46:c16-4,CHARACTERIZE,0.5264600264600264,0.6853241481116988,0.012916717923483824,
ykhs7s2dck,ykhs7s2dck:q8-19,CHARACTERIZE,0.11714888728593946,0.39057628930257415,1.7245925002226774,
ykhs7s2dck,ykhs7s2dck:q8-31,CHARACTERIZE,0.1876372272258816,0.36589628205688324,0.3159159421556206,
ykhs7s2dck,ykhs7s2dck:q8-33,CHARACTERIZE,0.19850277131271446,0.3186580386719051,0.07603420383637624,
ykhs7s2dck,ykhs7s2dck:q8-4,CHARACTERIZE,0.02054334183570185,0.7223804100227791,33.88610478359909,
74t7kcdgkr,74t7kcdgkr:c8-24,LOCATE,0.022673440815715557,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
74t7kcdgkr,74t7kcdgkr:c8-41,LOCATE,0.02811506661148729,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
74t7kcdgkr,74t7kcdgkr:c8-5,LOCATE,0.05639738029603357,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
74t7kcdgkr,74t7kcdgkr:c8-7,LOCATE,0.0,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
cgtnjyggtm,cgtnjyggtm:q24-21,LOCATE,0.2382009770277363,0.0,0.0,
cgtnjyggtm,cgtnjyggtm:q24-37,LOCATE,0.044322311851786186,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
w68dtmpfyf,w68dtmpfyf:q16-21,LOCATE,0.06723665789079766,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
w68dtmpfyf,w68dtmpfyf:q16-3,LOCATE,0.09122207644691774,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
w68dtmpfyf,w68dtmpfyf:q16-36,LOCATE,0.057172291734540234,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
xcmzfsbd9t,xcmzfsbd9t:c24-20,LOCATE,0.017777816796305725,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
xcmzfsbd9t,xcmzfsbd9t:c24-39,LOCATE,0.1574302669024769,0.0,0.0,
xcmzfsbd9t,xcmzfsbd9t:c24-49,LOCATE,0.04913312611716225,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
xcmzfsbd9t,xcmzfsbd9t:c24-54,LOCATE,0.09631929226523821,0.0,0.0,
yfxyg8jm46,yfxyg8jm46:c16-15,LOCATE,0.0757204871047557,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
yfxyg8jm46,yfxyg8jm46:c16-38,LOCATE,0.03782282136850725,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
ykhs7s2dck,ykhs7s2dck:q8-19,LOCATE,0.03503596932261445,0.0,0.0,INSUFFICIENT_MEASURED_SUPPORT
ykhs7s2dck,ykhs7s2dck:q8-33,LOCATE,0.44086292709174063,0.0,0.0,
ykhs7s2dck,ykhs7s2dck:q8-4,LOCATE,0.026349620054768468,0.0,0.0,
