task,stop_system,method,completion,false_stop,exhausted,failure_penalized_cost,autonomous_ausc,prefix_measurement_cost,physical_specimen_count,domain_count
CHARACTERIZE,S_BC_CAL,R_BALANCED_P8,0.0,0.875,0.125,1.0,0.0,0.8135227364963028,24,6
CHARACTERIZE,S_BC_CAL,BC_S1,0.0,0.9583333333333334,0.041666666666666664,1.0,0.0,0.7896333683234533,24,6
CHARACTERIZE,S_BC_CAL,BC_S2,0.0,0.9583333333333334,0.041666666666666664,1.0,0.0,0.8169937865608229,24,6
CHARACTERIZE,S_BC_CAL,BC_S3,0.0,1.0,0.0,1.0,0.0,0.7325025688153902,24,6
CHARACTERIZE,S_BC_CAL,BC_3SEED,0.0,0.9722222222222222,0.027777777777777776,1.0,0.0,0.7797099078998887,24,6
LOCATE,S_BC_CAL,R_BALANCED_P8,0.25,0.75,0.0,0.9065663809209803,0.09343361907901966,0.6725506312101223,24,6
LOCATE,S_BC_CAL,BC_S1,0.20833333333333334,0.7916666666666666,0.0,0.9363380591273766,0.06366194087262336,0.679411139628427,24,6
LOCATE,S_BC_CAL,BC_S2,0.25,0.75,0.0,0.9032683994578159,0.09673160054218412,0.70123202143224,24,6
LOCATE,S_BC_CAL,BC_S3,0.25,0.75,0.0,0.8978953731179251,0.10210462688207494,0.632900413242233,24,6
LOCATE,S_BC_CAL,BC_3SEED,0.23611111111111113,0.7638888888888888,0.0,0.9125006105677058,0.08749938943229414,0.6711811914342999,24,6
CHARACTERIZE,S_RULE,R_BALANCED_P8,0.0,1.0,0.0,1.0,0.0,0.7104451964389065,24,6
CHARACTERIZE,S_RULE,BC_S1,0.0,1.0,0.0,1.0,0.0,0.792138776573546,24,6
CHARACTERIZE,S_RULE,BC_S2,0.0,1.0,0.0,1.0,0.0,0.7378360530092077,24,6
CHARACTERIZE,S_RULE,BC_S3,0.0,1.0,0.0,1.0,0.0,0.7579005429533362,24,6
CHARACTERIZE,S_RULE,BC_3SEED,0.0,1.0,0.0,1.0,0.0,0.7626251241786967,24,6
LOCATE,S_RULE,R_BALANCED_P8,0.20833333333333334,0.7916666666666666,0.0,0.8426933362640584,0.15730666373594168,0.2905202075585494,24,6
LOCATE,S_RULE,BC_S1,0.25,0.75,0.0,0.8065610689819395,0.19343893101806056,0.2823222680868442,24,6
LOCATE,S_RULE,BC_S2,0.25,0.75,0.0,0.7829397919185258,0.21706020808147417,0.16141989924651015,24,6
LOCATE,S_RULE,BC_S3,0.25,0.75,0.0,0.8874539326665934,0.11254606733340661,0.5688743103762086,24,6
LOCATE,S_RULE,BC_3SEED,0.25,0.75,0.0,0.8256515978556861,0.1743484021443138,0.3375388259031877,24,6
