schema_version,cohort,dataset_id,specimen_id,specimen_key,split,priority,reference_version,reference_type,review_state,reviewer_alias,formal_eligible,annotation_path,annotation_exists,blinding_contract,status
1,RETROSPECTIVE_PILOT_60,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/74t7kcdgkr__c8-24.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/74t7kcdgkr__c8-41.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/74t7kcdgkr__c8-5.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/74t7kcdgkr__c8-7.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/cgtnjyggtm__q24-21.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/cgtnjyggtm__q24-37.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/cgtnjyggtm__q24-40.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/cgtnjyggtm__q24-8.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/w68dtmpfyf__q16-21.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/w68dtmpfyf__q16-3.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/w68dtmpfyf__q16-31.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/w68dtmpfyf__q16-36.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
1,RETROSPECTIVE_PILOT_60,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,TEST,1,PROXY_LEGACY,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,results/vlm_cscan_efficiency/annotation_queue/xcmzfsbd9t__c24-20.json,True,FULL_CSCAN_ONLY_NO_MODEL_OUTPUTS,INDEPENDENT_REVIEW_PENDING
