schema_version,dataset_id,specimen_id,specimen_key,task,method,seed,reference_version,analysis_scope,stop_system,stopped,stop_step,stop_cost,stop_report_sha256,success_at_stop,completion,false_stop,exhausted,autonomous_ausc,failure_penalized_cost,measured_cost_at_execution_end,prefix_action_count,prefix_measurement_cost,prefix_route_cost,prefix_route_turns,report_id,false_stop_iou,false_stop_recall,false_stop_relative_area_error,false_stop_task_loss,execution_evidence,planner_inference_seconds,stop_inference_seconds,timing_scope
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,R_BALANCED_P4,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,True,173,0.7776085284097154,d3d30bb3f23d6806310ed10401fc93beae485e2b8dcabd2398fb9f8909d4dd33,True,True,False,False,0.2223914715902846,0.7776085284097154,0.7776085284097154,173,0.7776085284097154,1.4101605769005578,13898,de1597f94c3af0dba3579e5d74ba7f05dcd7a63d75162995e8efe0ca4ea91624,,,,,CACHED_PREFIX,0.11924783885478973,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,R_BALANCED_P4,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,True,135,0.4141268271238598,716ca8a922e9068f9f53abc12a31f11d9df69f51c11c141dd3e4584fb9d1472f,False,False,True,False,0.0,1.0,0.4141268271238598,135,0.4141268271238598,0.8806932316645801,8436,2101d596142e579407f3ac606af6299a499cbfa88584fe6800cb2c29de25b459,0.8941165288470677,0.8941165288470677,0.10588347115293223,0.10588347115293217,CACHED_PREFIX,0.08637179899960756,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,R_BALANCED_P8,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,True,173,0.7776085284097154,d3d30bb3f23d6806310ed10401fc93beae485e2b8dcabd2398fb9f8909d4dd33,True,True,False,False,0.2223914715902846,0.7776085284097154,0.7776085284097154,173,0.7776085284097154,1.3951844555178812,13902,74f940a789237a81d7d31c7991a34bb9fd81a43edb8c58a438da4e835ecb5db0,,,,,CACHED_PREFIX,0.13225949835032225,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,R_BALANCED_P8,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,True,135,0.4141268271238598,716ca8a922e9068f9f53abc12a31f11d9df69f51c11c141dd3e4584fb9d1472f,False,False,True,False,0.0,1.0,0.4141268271238598,135,0.4141268271238598,0.8657171102819032,8440,34121f4a195edb891bcb39acb6cb39919feb2d9b9ce24ae4de6c37fa357a625c,0.8941165288470677,0.8941165288470677,0.10588347115293223,0.10588347115293217,CACHED_PREFIX,0.09574261540547013,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,True,170,0.7435432465106055,d3d30bb3f23d6806310ed10401fc93beae485e2b8dcabd2398fb9f8909d4dd33,True,True,False,False,0.25645675348939445,0.7435432465106055,0.7435432465106055,170,0.7435432465106055,1.3436856954568668,13426,298944b9af187570ddba1b57c7e64fce5dcd0fa737749e4520af2f68ca158383,,,,,CACHED_PREFIX,0.4078766433522105,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,True,159,0.6153159687877788,d3d30bb3f23d6806310ed10401fc93beae485e2b8dcabd2398fb9f8909d4dd33,True,True,False,False,0.38468403121222117,0.6153159687877788,0.6153159687877788,159,0.6153159687877788,1.168952175482179,11594,96bde23ff0804ba7ed6d43318cdeef62a054b6917521bc2194a7d406ebf26ea0,,,,,CACHED_PREFIX,0.38035293808206916,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,True,173,0.7789009781294648,d3d30bb3f23d6806310ed10401fc93beae485e2b8dcabd2398fb9f8909d4dd33,True,True,False,False,0.2210990218705352,0.7789009781294648,0.7789009781294648,173,0.7789009781294648,1.3833315488989606,13924,f7c605fcbdb6168fc77a63483917281531da36d070d6113bf2556a41f17881c2,,,,,CACHED_PREFIX,0.4834394068457186,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,True,158,0.6036839213100341,d3d30bb3f23d6806310ed10401fc93beae485e2b8dcabd2398fb9f8909d4dd33,True,True,False,False,0.3963160786899659,0.6036839213100341,0.6036839213100341,158,0.6036839213100341,1.146548750837608,11432,1e846058be4c14998058b631241e5e525941c570dd73ff4402597e8fa8afd604,,,,,CACHED_PREFIX,0.44528993777930737,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,True,164,0.6738454775250028,d3d30bb3f23d6806310ed10401fc93beae485e2b8dcabd2398fb9f8909d4dd33,True,True,False,False,0.3261545224749972,0.6738454775250028,0.6738454775250028,164,0.6738454775250028,1.2236327954092932,12434,4c31ad2279833ea8c825ed34e26c325554918ef2bae099047edc5d6b7a3776a8,,,,,CACHED_PREFIX,0.46822322718799114,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,True,163,0.662121112210133,d3d30bb3f23d6806310ed10401fc93beae485e2b8dcabd2398fb9f8909d4dd33,True,True,False,False,0.33787888778986697,0.662121112210133,0.662121112210133,163,0.662121112210133,1.207236904199996,12268,4fabc72d1355e377f4fb737476ae9d4f3ff4d314be2cab78b158d70eaaa263d4,,,,,CACHED_PREFIX,0.46586590306833386,,PLANNER_ONLY_STOP_LATENCY_NOT_MEASURED
