schema_version,dataset_id,specimen_id,specimen_key,task,method,seed,reference_version,analysis_scope,stop_system,execution_end_step,action_count,first_target_measurement_step,first_target_measurement_cost,first_target_support_step,first_target_support_cost,first_locate_support_criterion_step,first_locate_support_criterion_cost,added_v_measurement_fraction,added_r_measurement_fraction,added_o_measurement_fraction,entered_v,first_v_action_step,post_v_outside_action_status,first_post_v_outside_action_step
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,REVIEWED_02339eda86d486c3,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,1,0.0002659632926695241,42,0.010018683371799099,,,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,REVIEWED_02339eda86d486c3,AUTONOMOUS_PREFIX,S_BC_CAL,170,170,1,0.0002659632926695241,42,0.010018683371799099,,,0.06314979668095395,0.17992966260028576,0.5004637872293659,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,REVIEWED_02339eda86d486c3,AUTONOMOUS_PREFIX,S_RULE,159,159,1,0.0002659632926695241,42,0.010018683371799099,,,0.06314979668095395,0.09813825695131333,0.4540279151555116,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,REVIEWED_02339eda86d486c3,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,3,0.0008220683591603473,58,0.06961863941092428,,,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,6
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,REVIEWED_02339eda86d486c3,AUTONOMOUS_PREFIX,S_BC_CAL,173,173,3,0.0008220683591603473,58,0.06961863941092428,,,0.06314979668095395,0.20347071106715023,0.5122804703813606,True,0,OBSERVED,6
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,REVIEWED_02339eda86d486c3,AUTONOMOUS_PREFIX,S_RULE,158,158,3,0.0008220683591603473,58,0.06961863941092428,,,0.0516100670403341,0.09804593911418837,0.4540279151555116,True,0,OBSERVED,6
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,REVIEWED_02339eda86d486c3,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,1,0.0002659632926695241,69,0.23072865150016486,,,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,12
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,REVIEWED_02339eda86d486c3,AUTONOMOUS_PREFIX,S_BC_CAL,164,164,1,0.0002659632926695241,69,0.23072865150016486,,,0.06314979668095395,0.13349598857017256,0.47719969227387626,True,0,OBSERVED,12
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,REVIEWED_02339eda86d486c3,AUTONOMOUS_PREFIX,S_RULE,163,163,1,0.0002659632926695241,69,0.23072865150016486,,,0.06314979668095395,0.1334036707330476,0.46556764479613144,True,0,OBSERVED,12
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,R_BALANCED_P8,1,REVIEWED_02339eda86d486c3,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,1,0.0002659632926695241,73,0.2583031102318936,,,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,4
