specimen_key,split,variant,prompt_id,render_id,clean_sha256,numbered_sha256,status,first_pass_status,first_pass_percept,first_pass_parser_valid,first_pass_contract_valid,repair_dependent,region_count,unique_cell_count,cells,confidence_counts,no_reliable_cue,c0_size,c0_cells,c0_reason,calls,repair_calls,elapsed_seconds,output_tokens,forward_calls,raw_paths,overlay,human_review
cgtnjyggtm:q24-48,VALID,A_P0_R0,P0,R0,c4d3d9badaaa6b9ff0b351685a1833a8dab13443b79642d4f6353ef3f6fdf0c9,27d40ac5937960d91439d15a6f928dde9e834da4fcd826f540678530e314da8b,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [36, 37], ""cue"": ""circle with white speckles"", ""alternative"": ""dust or debris accumulation"", ""confidence"": ""medium""}, {""cells"": [59, 60], ""cue"": ""line"", ""alternative"": ""scratch or mark on the surface"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[36, 37, 59, 60]","{""medium"": 2}",False,4,"[36, 37, 59, 60]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,11.34400425478816,112,112,"[""runs/cgtnjyggtm__q24-48/A_P0_R0/raw_1.txt""]",overlays/cgtnjyggtm__q24-48/A_P0_R0.png,PENDING_HUMAN_REVIEW
cgtnjyggtm:q24-48,VALID,B_P1_R0,P1,R0,c4d3d9badaaa6b9ff0b351685a1833a8dab13443b79642d4f6353ef3f6fdf0c9,27d40ac5937960d91439d15a6f928dde9e834da4fcd826f540678530e314da8b,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [36, 37], ""cue"": ""环形结构"", ""alternative"": ""可能是由于拍摄角度造成的反光"", ""confidence"": ""medium""}, {""cells"": [52, 53], ""cue"": ""细长条状结构"", ""alternative"": ""可能是灰尘或微小划痕"", ""confidence"": ""low""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[36, 37, 52, 53]","{""medium"": 1, ""low"": 1}",False,2,"[36, 37]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,11.100656844675541,116,116,"[""runs/cgtnjyggtm__q24-48/B_P1_R0/raw_1.txt""]",overlays/cgtnjyggtm__q24-48/B_P1_R0.png,PENDING_HUMAN_REVIEW
cgtnjyggtm:q24-48,VALID,C_P0_R1,P0,R1,c4d3d9badaaa6b9ff0b351685a1833a8dab13443b79642d4f6353ef3f6fdf0c9,eb4aec31d2fafcb5e36e51458d2256c15dca22e4a9191fc9138551cca15bfb5c,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [27, 28, 29], ""cue"": ""环形结构"", ""alternative"": ""可能是由于风力作用形成的尘土漩涡"", ""confidence"": ""medium""}, {""cells"": [52, 53, 54], ""cue"": ""未知"", ""alternative"": ""无相关信息"", ""confidence"": ""unknown""}], ""no_reliable_cue"": false}",True,True,False,2,6,"[27, 28, 29, 52, 53, 54]","{""medium"": 1, ""unknown"": 1}",False,3,"[27, 28, 29]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,10.929701953195035,118,118,"[""runs/cgtnjyggtm__q24-48/C_P0_R1/raw_1.txt""]",overlays/cgtnjyggtm__q24-48/C_P0_R1.png,PENDING_HUMAN_REVIEW
cgtnjyggtm:q24-48,VALID,D_P1_R1,P1,R1,c4d3d9badaaa6b9ff0b351685a1833a8dab13443b79642d4f6353ef3f6fdf0c9,eb4aec31d2fafcb5e36e51458d2256c15dca22e4a9191fc9138551cca15bfb5c,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [28, 29, 30, 31], ""cue"": ""环形结构"", ""alternative"": ""可能是由于拍摄角度造成的阴影效果"", ""confidence"": ""medium""}, {""cells"": [52, 53, 54, 55], ""cue"": ""细长条状结构"", ""alternative"": ""可能是由于光线反射造成的条纹"", ""confidence"": ""low""}], ""no_reliable_cue"": false}",True,True,False,2,8,"[28, 29, 30, 31, 52, 53, 54, 55]","{""medium"": 1, ""low"": 1}",False,4,"[28, 29, 30, 31]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,11.789109415374696,132,132,"[""runs/cgtnjyggtm__q24-48/D_P1_R1/raw_1.txt""]",overlays/cgtnjyggtm__q24-48/D_P1_R1.png,PENDING_HUMAN_REVIEW
74t7kcdgkr:c8-16,VALID,A_P0_R0,P0,R0,bae76556ef388489255bf1f2d5e2638aa7a81a951a6c0b834c01dfb778ac903f,e7afd5be06042d1e6b6f955463dbdd163f200bcfef36a969a2818f5c14b95e39,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [35, 36], ""cue"": ""circle"", ""alternative"": ""可能是一个标记或缺陷"", ""confidence"": ""medium""}, {""cells"": [37, 38], ""cue"": ""circle"", ""alternative"": ""可能是一个标记或缺陷"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[35, 36, 37, 38]","{""medium"": 2}",False,4,"[35, 36, 37, 38]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,13.358730792067945,106,106,"[""runs/74t7kcdgkr__c8-16/A_P0_R0/raw_1.txt""]",overlays/74t7kcdgkr__c8-16/A_P0_R0.png,PENDING_HUMAN_REVIEW
74t7kcdgkr:c8-16,VALID,B_P1_R0,P1,R0,bae76556ef388489255bf1f2d5e2638aa7a81a951a6c0b834c01dfb778ac903f,e7afd5be06042d1e6b6f955463dbdd163f200bcfef36a969a2818f5c14b95e39,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [35, 36], ""cue"": ""中心的圆形轮廓"", ""alternative"": ""可能是标记或划痕"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,1,2,"[35, 36]","{""medium"": 1}",False,2,"[35, 36]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,13.121238781139255,68,68,"[""runs/74t7kcdgkr__c8-16/B_P1_R0/raw_1.txt""]",overlays/74t7kcdgkr__c8-16/B_P1_R0.png,PENDING_HUMAN_REVIEW
74t7kcdgkr:c8-16,VALID,C_P0_R1,P0,R1,bae76556ef388489255bf1f2d5e2638aa7a81a951a6c0b834c01dfb778ac903f,a457dc1fdb389fe3b690e68b1e1c17a61467744b9cc6710b6e46210a3ed36280,VALID_AFTER_REPAIR,INVALID_OR_FAILED,"{""regions"": [{""cells"": [35, 36], ""cue"": ""circle"", ""alternative"": ""可能是一个标记点或缺陷指示器"", ""confidence"": ""medium""}, {""cells"": [35, 36], ""cue"": ""circle"", ""alternative"": ""可能是一个标记点或缺陷指示器"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,False,True,1,2,"[35, 36]","{""medium"": 1}",False,2,"[35, 36]",HIGHEST_RELIABLE_CONFIDENCE_C0,2,1,25.656921949237585,180,180,"[""runs/74t7kcdgkr__c8-16/C_P0_R1/raw_1.txt"", ""runs/74t7kcdgkr__c8-16/C_P0_R1/raw_2.txt""]",overlays/74t7kcdgkr__c8-16/C_P0_R1.png,PENDING_HUMAN_REVIEW
74t7kcdgkr:c8-16,VALID,D_P1_R1,P1,R1,bae76556ef388489255bf1f2d5e2638aa7a81a951a6c0b834c01dfb778ac903f,a457dc1fdb389fe3b690e68b1e1c17a61467744b9cc6710b6e46210a3ed36280,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [35, 36], ""cue"": ""中心的圆形轮廓"", ""alternative"": ""可能是标记或划痕"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,1,2,"[35, 36]","{""medium"": 1}",False,2,"[35, 36]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,12.355444091372192,68,68,"[""runs/74t7kcdgkr__c8-16/D_P1_R1/raw_1.txt""]",overlays/74t7kcdgkr__c8-16/D_P1_R1.png,PENDING_HUMAN_REVIEW
w68dtmpfyf:q16-29,VALID,A_P0_R0,P0,R0,e03d1e800bd0d8aa219541870ba8121090d0d050de12641abe00516de8de86d0,83570d331a080bf22af0368f0a73097ed1859a92d86c9499b5a4961d1eb98646,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [27, 28], ""cue"": ""circle"", ""alternative"": ""可能是一个小的划痕或污渍"", ""confidence"": ""medium""}, {""cells"": [59, 60], ""cue"": ""unknown"", ""alternative"": ""无明显线索"", ""confidence"": ""low""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[27, 28, 59, 60]","{""medium"": 1, ""low"": 1}",False,2,"[27, 28]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,10.506331626325846,108,108,"[""runs/w68dtmpfyf__q16-29/A_P0_R0/raw_1.txt""]",overlays/w68dtmpfyf__q16-29/A_P0_R0.png,PENDING_HUMAN_REVIEW
w68dtmpfyf:q16-29,VALID,B_P1_R0,P1,R0,e03d1e800bd0d8aa219541870ba8121090d0d050de12641abe00516de8de86d0,83570d331a080bf22af0368f0a73097ed1859a92d86c9499b5a4961d1eb98646,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [28, 29], ""cue"": ""微小的圆形痕迹"", ""alternative"": ""可能是轻微的划痕或污渍"", ""confidence"": ""low""}], ""no_reliable_cue"": false}",True,True,False,1,2,"[28, 29]","{""low"": 1}",False,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",NO_MEDIUM_OR_HIGH_CONFIDENCE,1,0,9.521933234296739,72,72,"[""runs/w68dtmpfyf__q16-29/B_P1_R0/raw_1.txt""]",overlays/w68dtmpfyf__q16-29/B_P1_R0.png,PENDING_HUMAN_REVIEW
