title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
Adaptive sampling for efficient Lamb wavefield reconstruction in composite laminates with Spatial-Temporal Masked AutoEncoder,2026,Ultrasonics,https://doi.org/10.1016/j.ultras.2026.107972,pure method,4,4,4,A,Closest ultrasonic adaptive-sampling precedent,Reconstruction and damage-region objective rather than CAI
Learning Task-Specific Strategies for Accelerated MRI,2024,IEEE TCI,https://doi.org/10.1109/TCI.2024.3410521,pure method,5,5,5,Risk,Closest task-driven acquisition co-design precedent,MRI operator and datasets differ
Learning-based Optimization of the Under-sampling Pattern in MRI,2019,IPMI,https://arxiv.org/abs/1901.01960,pure method,4,4,4,A,Population-level differentiable acquisition mask,Reconstruction objective only
EDDI: Efficient Dynamic Discovery of High-Value Information with Partial VAE,2019,ICML,https://proceedings.mlr.press/v97/ma19c.html,pure method,5,5,4,A,Target-oriented value of information,Tabular generative model not spatial sensing
Acquisition Conditioned Oracle for Nongreedy Active Feature Acquisition,2024,ICML,https://proceedings.mlr.press/v235/valancius24a.html,pure method,5,4,4,Risk,Closest oracle-based active feature acquisition,Nonparametric conditional oracle differs from retrospective CAI upper bound
Imitation Learning by Coaching,2012,NeurIPS,https://proceedings.neurips.cc/paper/2012/hash/2dffbc474aa176b6dc957938c15d0c8b-Abstract.html,pure method,4,4,4,A,Oracle imitation for dynamic feature selection,Future A5 only
Active Feature Acquisition with Generative Surrogate Models,2021,ICML,https://proceedings.mlr.press/v139/li21p.html,pure method,4,4,4,A,Sequential partial-observation acquisition,Generative surrogate intentionally excluded from A0-A3
Joint Active Feature Acquisition and Classification with Variable-Size Set Encoding,2018,NeurIPS,https://proceedings.neurips.cc/paper/2018/hash/e5841df2166dd424a57127423d276bbe-Abstract.html,pure method,4,4,4,B,Joint prediction and acquisition baseline,RL is unsuitable for the current first package
Active MR k-space Sampling with Reinforcement Learning,2020,MICCAI,https://arxiv.org/abs/2007.10469,pure method,4,4,4,B,Sequential acquisition and POMDP background,K-space and RL are outside current scope
Task-Based Analog-to-Digital Converters,2020,arXiv,https://arxiv.org/abs/2009.14088,theory/proof,5,4,4,A,Theory for task-oriented sensing loss,Does not validate raster C-scan acquisition
Efficient design optimization of nonconventional laminated composites using lamination parameters: A state of the art,2019,Composite Structures,https://doi.org/10.1016/j.compstruct.2018.10.095,survey,4,5,4,B,Fixed-dimensional laminate descriptor background,Locked until A6
