cell_id,raw,parsed,feature_indicator,ordinal_confidence,confidence_level,c0,historical_first_action
0,False,False,0.0,0.0,unknown/unselected,False,False
1,False,False,0.0,0.0,unknown/unselected,False,False
2,False,False,0.0,0.0,unknown/unselected,False,False
3,False,False,0.0,0.0,unknown/unselected,False,False
4,False,False,0.0,0.0,unknown/unselected,False,False
5,False,False,0.0,0.0,unknown/unselected,False,False
6,False,False,0.0,0.0,unknown/unselected,False,False
7,False,False,0.0,0.0,unknown/unselected,False,False
8,False,False,0.0,0.0,unknown/unselected,False,False
9,False,False,0.0,0.0,unknown/unselected,False,False
10,False,False,0.0,0.0,unknown/unselected,False,False
11,False,False,0.0,0.0,unknown/unselected,False,False
12,False,False,0.0,0.0,unknown/unselected,False,False
13,False,False,0.0,0.0,unknown/unselected,False,False
14,False,False,0.0,0.0,unknown/unselected,False,False
15,False,False,0.0,0.0,unknown/unselected,False,False
16,False,False,0.0,0.0,unknown/unselected,False,False
17,False,False,0.0,0.0,unknown/unselected,False,False
18,False,False,0.0,0.0,unknown/unselected,False,False
19,False,False,0.0,0.0,unknown/unselected,False,False
20,False,False,0.0,0.0,unknown/unselected,False,False
21,False,False,0.0,0.0,unknown/unselected,False,False
22,False,False,0.0,0.0,unknown/unselected,False,False
23,False,False,0.0,0.0,unknown/unselected,False,False
24,False,False,0.0,0.0,unknown/unselected,False,False
25,False,False,0.0,0.0,unknown/unselected,False,False
26,False,False,0.0,0.0,unknown/unselected,False,False
27,False,False,0.0,0.0,unknown/unselected,False,False
28,False,False,0.0,0.0,unknown/unselected,False,False
29,False,False,0.0,0.0,unknown/unselected,False,False
30,False,False,0.0,0.0,unknown/unselected,False,False
31,False,False,0.0,0.0,unknown/unselected,False,False
32,False,False,0.0,0.0,unknown/unselected,False,False
33,False,False,0.0,0.0,unknown/unselected,False,False
34,False,False,0.0,0.0,unknown/unselected,False,False
35,False,False,0.0,0.0,unknown/unselected,False,False
36,True,True,1.0,0.6666666865348816,medium,True,True
37,True,True,1.0,0.6666666865348816,medium,True,False
38,False,False,0.0,0.0,unknown/unselected,False,False
39,False,False,0.0,0.0,unknown/unselected,False,False
40,False,False,0.0,0.0,unknown/unselected,False,False
41,False,False,0.0,0.0,unknown/unselected,False,False
42,False,False,0.0,0.0,unknown/unselected,False,False
43,False,False,0.0,0.0,unknown/unselected,False,False
44,False,False,0.0,0.0,unknown/unselected,False,False
45,False,False,0.0,0.0,unknown/unselected,False,False
46,False,False,0.0,0.0,unknown/unselected,False,False
47,False,False,0.0,0.0,unknown/unselected,False,False
48,False,False,0.0,0.0,unknown/unselected,False,False
49,False,False,0.0,0.0,unknown/unselected,False,False
50,False,False,0.0,0.0,unknown/unselected,False,False
51,False,False,0.0,0.0,unknown/unselected,False,False
52,False,False,0.0,0.0,unknown/unselected,False,False
53,False,False,0.0,0.0,unknown/unselected,False,False
54,False,False,0.0,0.0,unknown/unselected,False,False
55,False,False,0.0,0.0,unknown/unselected,False,False
56,False,False,0.0,0.0,unknown/unselected,False,False
57,False,False,0.0,0.0,unknown/unselected,False,False
58,False,False,0.0,0.0,unknown/unselected,False,False
59,True,True,1.0,0.6666666865348816,medium,True,False
60,True,True,1.0,0.6666666865348816,medium,True,False
61,False,False,0.0,0.0,unknown/unselected,False,False
62,False,False,0.0,0.0,unknown/unselected,False,False
63,False,False,0.0,0.0,unknown/unselected,False,False
