layer,question,key_comparison,effect,ci95,domains,evidence_type,conclusion,source_claim_ids,source_artifacts,source_hashes,canonical_authority_hash
Useful,Does it improve the task?,matched scalar vs selected B-family spatial field,MAE reduction 0.0607 (32.1%),"[0.00664, 0.154]",5/6,registered confirmatory,Spatial internal morphology preserves CAI-relevant information absent from the matched scalar representation.,U1_MATCHED_FIELD,results/p1_full_field_oracle/metrics.json,73bcf2112e62f756ff8055f49e89147c9f70f36ef5c5c276cdc76f666e8ab18b,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
Useful,Does it improve the task?,surface vs sparse field; sparse vs full field,89.9% gain retained; full-field gap 0.00602,"gap [0.00173, 0.0108]",5/6 vs surface; 0/6 vs full,registered retrospective sparse protocol,"Sparse measurements retain most, but not all, registered full-field gain; no scanner-time claim is made.",U2_SPARSE_RETENTION;U2_SPARSE_GAIN;U2_SPARSE_FULL_GAP,results/p5_sparse_scan/retention.csv;results/p5_sparse_scan/bootstrap.csv,f6aead6cb054294018cdd2ac309140fc46fac02ac30574e8f4841ae8e9960bf6;6dac2a094b77e380445f67e48b3c93f813b6e8be7948672448ad593778f3ab57,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
Useful,Does it improve the task?,mechanical oracle vs uniform and reconstruction oracles,CAI-AUEBC improvements 0.00391 and 0.00373,"[0.00280, 0.00502]; [0.00284, 0.00469]",6/6 for both,retrospective one-shot oracle,"Specimen-specific mechanical acquisition headroom exists, but the oracle is non-deployable.",U3_UNIFORM_ORACLE;U3_RECONSTRUCTION_ORACLE;U3_HEADROOM_RETENTION,results/mvd/m0_one_shot_oracle/summary.json,a8abea8c6452855e7e975227948706f153ed72791dc441018865c1c616ccd57d,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
Useful,Does it improve the task?,mechanics and reconstruction task-specific oracles; learned global masks,CAI 0.0486; image error 5.503e-04; learned indicator 0,"[0.0453, 0.0520]; [5.006e-04, 6.063e-04]",6-domain contrasts; learned separation unsupported,retrospective cross-objective oracle + learned adverse control,Oracle task specificity holds; learned global masks do not reproduce the separation.,U4_ORACLE_CAI_SPECIFICITY;U4_ORACLE_IMAGE_SPECIFICITY;U4_LEARNED_SPECIFICITY_BOUNDARY,results/mavis_science_closure/p14_task_specificity/summary.json,26710df19821e5e6edbe333d7c105f2b2bbddb1cf783eb3a64910bb691b6004d,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
Useful,Does it improve the task?,Ridge-Huber vs Ridge-MLP action-value rankings,Spearman rho 0.762 vs 0.116,"[0.699, 0.821]; [0.0690, 0.164]",6 held-out domains,strict-OOF learner sensitivity,Measurement value is downstream-predictor-conditioned rather than an intrinsic location property.,U5_RIDGE_HUBER_SPEARMAN;U5_RIDGE_MLP_SPEARMAN,results/mavis_science_closure/p15_value_stability/summary.json,55d697ad2aa78e7e0ddd9b471d4cbdc58db0c22a39aa36879a903858804ffb45,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
Observable,Is value observable from legal state?,static legal-state scorer vs strict-OOF teacher values,Spearman rho -0.0196,"[-0.0591, 0.0195]",3/6,strict-OOF static scorer,Static value observability is not supported.,O1_STATIC_SPEARMAN;O1_STATIC_SET_REGRET;O1_GLOBAL_SET_REGRET;O1_RANDOM_SET_REGRET,results/mvd/m1_observability/bootstrap.csv;results/mvd/m1_observability/model_metrics.csv,d1c0fb6e67755fae44292e67c95194bf6fbb096fe6a191d9cb8ec871fcfba58f;fe33fb2fc3900711af021243085d51deb7b4fe33e1e07fca398cc49724d40c53,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
Observable,Is value observable from legal state?,conditional teacher values from initial to final tested checkpoint,turnover 0.704; rank 0.405; top-5 0.307,descriptive checkpoint evolution,276 specimens; 6 domains,strict-OOF retrospective teacher,True conditional measurement value evolves with acquisition state.,O2_TEACHER_TURNOVER;O2_TEACHER_RANK;O2_TEACHER_TOPK;O2_TEACHER_OPPORTUNITY,results/mavis_science_closure/p9_value_evolution/summary.json,7949e0828d3a2ceafa91ef211f828329ed54a7e01b2bdf11e8ab33ed7d601e28,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
Observable,Is value observable from legal state?,measured content vs matched positions and reconstruction controls,real-minus-position MAE 0.0174; real-minus-reconstruction 0.0342,"[0.00890, 0.0258]; [0.0245, 0.0438]",1/6 favors measured content for each control,matched representation adverse controls,Measured content is worse than positions and reconstruction controls; beyond-geometry value is not established.,O3_REAL_MINUS_POSITIONS;O3_REAL_MINUS_RECONSTRUCTION,results/mavis_science_closure/p10_mris_causal/contrasts.csv,809c03866789067335baef37c6cb668e35a8eae7b4bdc49748d6b125b66a18c5,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
Observable,Is value observable from legal state?,conditional real-state regret vs static and shuffled controls,vs static -0.00126; vs shuffled 2.328e-04,"[-0.00212, -4.442e-04]; [6.060e-05, 4.180e-04]",5/6 vs static; 1/6 vs shuffled,frozen dynamic valuation controls,"Conditional scoring narrowly beats static, but shuffled content remains better.",O4_DYNAMIC_MINUS_STATIC;O4_DYNAMIC_MINUS_SHUFFLED,results/mavis_science_closure/p11_dynamic_valuation/summary.json,75b590bc853ac23fe5bc394de3c4a08b66566553f0b2e23a67268420261da558,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
Actionable,Does it improve a bounded decision?,retrospective valuation and planning substitutions,valuation 4.979e-05; learned planning 3.164e-06; true-value planning 1.117e-04,"[1.845e-05, 8.105e-05]; [1.411e-07, 6.250e-06]; [9.898e-05, 1.248e-04]",6-domain equal weighting,retrospective component substitution,Valuation and bounded planning gaps exist; a representation bottleneck is not established.,A1_VALUATION_SUBSTITUTION;A1_LEARNED_PLANNING_SUBSTITUTION;A1_TRUE_VALUE_PLANNING_SUBSTITUTION,results/mavis_science_closure/p12_rvp_attribution/summary.json,c75e034b89e1f249185e1e389ce305bd6455dd6f2b46ede3d6fd9e8e9eee1040,2881a26048923993a46fec420dfff03a0e14222983de0c75b5b24bd93ab4254e
