specimen_key,method,seed,vlm_cache_key,vlm_available,vlm_no_reliable_cue,vlm_unknown_cell_count,vlm_low_cell_count,vlm_medium_cell_count,vlm_high_cell_count,initial_candidates,initial_action,proposal_restricted,initial_proposal_reason,initial_proposal_mask,first_action_in_initial_proposal
74t7kcdgkr:c8-24,VLM_CAI_FEEDBACK_AGENT,1,868bf952fdddf8f815df91ed0e507c24a8169605ca4ee7e7243232e46c129361,True,False,0,0,4,0,35;36;59;60,59,True,HIGHEST_RELIABLE_CONFIDENCE_C0,0000000000000000000000000000000000011000000000000000000000011000,True
74t7kcdgkr:c8-7,VLM_CAI_FEEDBACK_AGENT,1,034a66d55e280205d5ca3664f30bd9fcb720e403c5f72726ca3af6c0345322c7,True,False,0,0,4,0,27;28;35;36,35,True,HIGHEST_RELIABLE_CONFIDENCE_C0,0000000000000000000000000001100000011000000000000000000000000000,True
74t7kcdgkr:c8-5,VLM_CAI_FEEDBACK_AGENT,1,e2f7788a8a371b2e128a662a57d4264d78136d7ca34b0bc9924aed15afda771f,True,False,0,0,4,0,35;36;37;38,35,True,HIGHEST_RELIABLE_CONFIDENCE_C0,0000000000000000000000000000000000011110000000000000000000000000,True
74t7kcdgkr:c8-41,VLM_CAI_FEEDBACK_AGENT,1,9402d020537d15ba0de9129d948713dbcc8e3613fa195ab3eb3a84ba22e8642f,True,False,0,5,0,0,,3,False,NO_MEDIUM_OR_HIGH_CONFIDENCE,1111111111111111111111111111111111111111111111111111111111111111,True
cgtnjyggtm:q24-40,VLM_CAI_FEEDBACK_AGENT,1,6e832805392c7ca4595d25f2d8f20a25a936cd10bcedd6221cef927d11cdbc36,True,False,3,0,3,0,27;28;29,27,True,HIGHEST_RELIABLE_CONFIDENCE_C0,0000000000000000000000000001110000000000000000000000000000000000,True
cgtnjyggtm:q24-8,VLM_CAI_FEEDBACK_AGENT,1,769a08a28023c119cd559758e49cb5630382ed2803e83146ca5d78c7ace87b61,True,False,0,0,8,0,29;30;35;36;37;38;43;44,36,True,HIGHEST_RELIABLE_CONFIDENCE_C0,0000000000000000000000000000011000011110000110000000000000000000,True
cgtnjyggtm:q24-21,VLM_CAI_FEEDBACK_AGENT,1,ad93ebe31bf09abf2a6bd7cff118d54169aad2ea871416e70549c7c27f29e284,True,False,0,0,4,0,35;36;44;45,35,True,HIGHEST_RELIABLE_CONFIDENCE_C0,0000000000000000000000000000000000011000000011000000000000000000,True
cgtnjyggtm:q24-37,VLM_CAI_FEEDBACK_AGENT,1,384bb2792bf667e5ebeb8c619fde97c96d3cf08843e0c32a36b943d31b144d3f,True,False,4,0,4,0,27;28;35;36,28,True,HIGHEST_RELIABLE_CONFIDENCE_C0,0000000000000000000000000001100000011000000000000000000000000000,True
w68dtmpfyf:q16-3,VLM_CAI_FEEDBACK_AGENT,1,943af824cfaf9d9237cc43b135d25712369cffaefe0fac280929dc54ef52153b,True,False,0,0,4,0,35;36;43;44,35,True,HIGHEST_RELIABLE_CONFIDENCE_C0,0000000000000000000000000000000000011000000110000000000000000000,True
w68dtmpfyf:q16-31,VLM_CAI_FEEDBACK_AGENT,1,49a57acf6a530b143538d70adc821b60c179e158a81bfb846a33187edacc3539,True,False,0,0,4,0,35;36;49;50,36,True,HIGHEST_RELIABLE_CONFIDENCE_C0,0000000000000000000000000000000000011000000000000110000000000000,True
