citekey,title,author,year,venue,doi,source,access,read_extent,source_location,supported_sentence,limitation,volume,pages,kind
hasebe2022data,Dataset for surface and internal damage after impact on CFRP laminates,"Hasebe, Saki and Higuchi, Ryo and Yokozeki, Tomohiro and Takeda, Shin-ichi",2022,Data in Brief,10.1016/j.dib.2022.108462,https://pmc.ncbi.nlm.nih.gov/articles/PMC9294053/,PUBLIC,sections_indexed_text,Abstract; Data Description; References,Post-impact surface/internal images and source records,Direct PMC access challenged; indexed sections and PubMed metadata read,43,108462,article
hasebe2025data,Dataset of compression after impact testing on carbon fiber reinforced plastic laminates,"Hasebe, Saki and Higuchi, Ryo and Yokozeki, Tomohiro and Takeda, Shin-ichi",2025,Data in Brief,10.1016/j.dib.2025.111509,https://pmc.ncbi.nlm.nih.gov/articles/PMC11999467/,PUBLIC,sections_indexed_text,Abstract; Specifications; Data Description,CAI dataset v3; strength measurements; correspondence with earlier specimen names,Direct PMC access challenged; no PDF fulltext claim,60,111509,article
mack2026,Deep learning for predicting impact energy and compression after impact strength of composite materials using C-scan images,"Mack, Jason P. and Mirza, Faizan and Duan, Zhong-Hui and Hasebe, Saki and Higuchi, Ryo and Yokozeki, Tomohiro and Tan, K. T.",2026,Advanced Engineering Informatics,10.1016/j.aei.2026.104518,https://ideaexchange.uakron.edu/university_research/55/,PUBLIC,abstract,Description; Crossref API author metadata,ResNet18 image-to-CAI regression,Publisher fulltext unavailable; institutional author list incomplete and corrected from successful earlier Crossref read,72,104518,article
fuentes2020,Autonomous ultrasonic inspection using Bayesian optimisation and robust outlier analysis,"Fuentes, R. and Gardner, P. and Mineo, C. and Rogers, T. J. and Pierce, S. G. and Worden, K. and Dervilis, N. and Cross, E. J.",2020,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2020.106897,https://eprints.whiterose.ac.uk/id/eprint/160984/,PUBLIC,abstract,Abstract; Metadata,Sequential ultrasonic location selection using novelty indices and damage probability,PDF routes failed; exact hardware/stopping details not asserted,145,106897,article
covert2023,Learning to Maximize Mutual Information for Dynamic Feature Selection,"Covert, Ian Connick and Qiu, Wei and Lu, Mingyu and Kim, Na Yoon and White, Nathan J and Lee, Su-In",2023,Proceedings of the 40th International Conference on Machine Learning,,https://proceedings.mlr.press/v202/covert23a.html,PUBLIC,sections,"PDF Sections 2–4; Theorem 2, pp2–4",Greedy CMI; fixed uniform cost budget; squared-loss regression result,No theorem transfer to this absolute-loss policy,202,6424--6447,inproceedings
shim2018,Joint Active Feature Acquisition and Classification with Variable-Size Set Encoding,"Shim, Hajin and Hwang, Sung Ju and Yang, Eunho",2018,Advances in Neural Information Processing Systems,,https://papers.nips.cc/paper/2018/file/e5841df2166dd424a57127423d276bbe-Paper.pdf,PUBLIC,sections,"Abstract; Introduction; Section 3, pp1–4",Joint classifier/acquirer training; observed-feature set encoding; stop/predict action,Not implemented as a baseline here,31,,inproceedings
janisch2019,Classification with Costly Features using Deep Reinforcement Learning,"Janisch, Jaromír and Pevný, Tomáš and Lisý, Viliam",2017,arXiv,10.48550/arXiv.1711.07364,https://arxiv.org/abs/1711.07364,PUBLIC,sections,Author-hosted AAAI PDF Problem definition; arXiv metadata,Feature requests and classification actions trade error against cost,Cited preprint year 2017; author-hosted conference text read,,,article
he2015,Deep Residual Learning for Image Recognition,"He, Kaiming and Zhang, Xiangyu and Ren, Shaoqing and Sun, Jian",2015,arXiv,10.48550/arXiv.1512.03385,https://arxiv.org/abs/1512.03385,PUBLIC,abstract,Abstract and metadata,Residual-network encoder source,No external accuracy transferred,,,article
vaswani2017,Attention Is All You Need,"Vaswani, Ashish and Shazeer, Noam and Parmar, Niki and Uszkoreit, Jakob and Jones, Llion and Gomez, Aidan N. and Kaiser, Lukasz and Polosukhin, Illia",2017,arXiv,10.48550/arXiv.1706.03762,https://arxiv.org/abs/1706.03762,PUBLIC,abstract,Abstract and metadata,Transformer architecture attribution,No claim of reproducing original translation model,,,article
bai2025,Qwen2.5-VL Technical Report,"Bai, Shuai and Chen, Keqin and Liu, Xuejing and Wang, Jialin and Ge, Wenbin and Song, Sibo and Dang, Kai and Wang, Peng and Wang, Shijie and Tang, Jun and Zhong, Humen and Zhu, Yuanzhi and Yang, Mingkun and Li, Zhaohai and Wan, Jianqiang and Wang, Pengfei and Ding, Wei and Fu, Zheren and Xu, Yiheng and Ye, Jiabo and Zhang, Xi and Xie, Tianbao and Cheng, Zesen and Zhang, Hang and Yang, Zhibo and Xu, Haiyang and Lin, Junyang",2025,arXiv,10.48550/arXiv.2502.13923,https://arxiv.org/abs/2502.13923,PUBLIC,abstract,Abstract and metadata,Qwen2.5-VL model attribution,Local use and exact revision grounded separately in code,,,article
