result,function,destination,source,qualification
nine_methods_at_025,core,main_Table3,same_cost_metrics.csv,matched_cap_not_exact_pixels
four_mechanism_intervals,qualification,main_Table4; SI_FigS4,mechanism_area_intervals.csv,all_cross_zero; remove_duplicate_main_forest
no_vlm_better,qualification,main_5.2,method_summary.csv,retain_surface_and_single_seed
all_five_caps,necessary_support,SI_source_data,same_cost_metrics.csv,actual_fraction_ranges
all_domains,heterogeneity,main_5.5_and_SI,same_cost_metrics_by_domain.csv,six_domains_not_six_samples
timing_identity,interpretation,main_5.3_Fig3; numeric_residuals_SI_S2,analysis/timing_contributions.csv,stage2_largest_positive_vs_open; signed_not_causal
quality_anchor,core,main_5.4,equal_quality_anchors.csv,50percent_geometry_0percent_static
all_targets_two_grids,alternative_inference,SI_source_data,equal_quality_grid.csv,retain_unreached_negative_and_rebounds
full_input_gap,qualification,main_5.5,full_scan_gap.csv,cost_1_only_no_area
three_frozen_cases,necessary_support,main_Fig4_c8_step1_step8; three_cases_SI,case_figure_reuse.csv,unchanged_source_images; chronological_assembly
predictor_training,reproducibility,main_3.3_4.3; SI_S1_predictor_table,predictor_training.py; W2/predictor_gate.json,Huber_batch32_distinct_from_actor16
prefix_budget_scope,definition,main_4.4; SI_S3,actor_training.py::_actor_forward/_evaluate_one,fixed_total_B025_no_lower_budget_reruns
