schema_version,dataset_id,specimen_id,specimen_key,split,reference_version,reference_path,reference_sha256,reviewer_alias,formal_eligible,status
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,yfxyg8jm46,c16-15,yfxyg8jm46:c16-15,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,yfxyg8jm46,c16-19,yfxyg8jm46:c16-19,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,yfxyg8jm46,c16-38,yfxyg8jm46:c16-38,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,yfxyg8jm46,c16-4,yfxyg8jm46:c16-4,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,ykhs7s2dck,q8-19,ykhs7s2dck:q8-19,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,ykhs7s2dck,q8-31,ykhs7s2dck:q8-31,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,ykhs7s2dck,q8-33,ykhs7s2dck:q8-33,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
1,ykhs7s2dck,q8-4,ykhs7s2dck:q8-4,TEST,REVIEWED_PENDING,,,,False,PENDING_USER_INPUT
