schema_version,outer_domain,dataset_id,specimen_id,specimen_key,role,pilot_selected,evidence_scope
1,74t7kcdgkr,74t7kcdgkr,c8-10t,74t7kcdgkr:c8-10t,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-11,74t7kcdgkr:c8-11,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-12,74t7kcdgkr:c8-12,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-12t,74t7kcdgkr:c8-12t,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-13,74t7kcdgkr:c8-13,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-14,74t7kcdgkr:c8-14,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-15,74t7kcdgkr:c8-15,TARGET,True,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-16,74t7kcdgkr:c8-16,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-17,74t7kcdgkr:c8-17,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-18,74t7kcdgkr:c8-18,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-19,74t7kcdgkr:c8-19,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-2,74t7kcdgkr:c8-2,TARGET,True,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-20,74t7kcdgkr:c8-20,TARGET,True,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-21,74t7kcdgkr:c8-21,TARGET,True,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-22,74t7kcdgkr:c8-22,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
1,74t7kcdgkr,74t7kcdgkr,c8-23,74t7kcdgkr:c8-23,TARGET,False,INTERNAL_REUSED_COHORT_EVALUATION
