specimen_key,dataset_id,capture_group_id,fold
74t7kcdgkr:c8-11,74t7kcdgkr,cg_dddfa79b65fe4ec3,1
74t7kcdgkr:c8-12t,74t7kcdgkr,cg_dce34b4d1a75ca03,2
74t7kcdgkr:c8-14,74t7kcdgkr,cg_de36842ceb0b669d,1
74t7kcdgkr:c8-15,74t7kcdgkr,cg_de36842ceb0b669d,1
74t7kcdgkr:c8-19,74t7kcdgkr,cg_436f4e4305ab635d,0
74t7kcdgkr:c8-20,74t7kcdgkr,cg_fc2b47129dab53b5,0
74t7kcdgkr:c8-23,74t7kcdgkr,cg_5664e5fd63a64397,2
74t7kcdgkr:c8-25,74t7kcdgkr,cg_3b33997b939ad827,1
74t7kcdgkr:c8-26,74t7kcdgkr,cg_7cd21ddf912f3237,0
74t7kcdgkr:c8-29,74t7kcdgkr,cg_ff1326048205fdc3,1
74t7kcdgkr:c8-32,74t7kcdgkr,cg_ba578a95be7f383b,0
74t7kcdgkr:c8-33,74t7kcdgkr,cg_2508a9d6037ebb4d,0
74t7kcdgkr:c8-34,74t7kcdgkr,cg_df8537af42eeb5c9,1
74t7kcdgkr:c8-36,74t7kcdgkr,cg_e40bd92cc201b5b1,2
74t7kcdgkr:c8-37,74t7kcdgkr,cg_d51f959f9fc3ad64,0
74t7kcdgkr:c8-38,74t7kcdgkr,cg_c20c19e9f931f066,2
74t7kcdgkr:c8-40,74t7kcdgkr,cg_c8f844619a69041e,0
74t7kcdgkr:c8-41,74t7kcdgkr,cg_ee56faa339a830f2,0
74t7kcdgkr:c8-42,74t7kcdgkr,cg_f3946cf7fb331808,2
74t7kcdgkr:c8-5,74t7kcdgkr,cg_248d232f49968f87,2
74t7kcdgkr:c8-6,74t7kcdgkr,cg_248d232f49968f87,2
74t7kcdgkr:c8-6t,74t7kcdgkr,cg_c57502d3d6e71642,1
74t7kcdgkr:c8-7,74t7kcdgkr,cg_dddfa79b65fe4ec3,1
74t7kcdgkr:c8-8t,74t7kcdgkr,cg_d4f3118bb7e2d7ed,0
74t7kcdgkr:c8-9t,74t7kcdgkr,cg_cdb4a4408962ed94,2
cgtnjyggtm:q24-1,cgtnjyggtm,cg_a9c69cfd0b94636f,2
cgtnjyggtm:q24-10,cgtnjyggtm,cg_c7bb1ae164d80b87,1
cgtnjyggtm:q24-13,cgtnjyggtm,cg_3c15c48ecc575afe,2
cgtnjyggtm:q24-14,cgtnjyggtm,cg_c31d4e997c2197f8,0
cgtnjyggtm:q24-18,cgtnjyggtm,cg_3b02cbdaed332c2a,1
cgtnjyggtm:q24-19,cgtnjyggtm,cg_c43cb6d57d3853d5,2
cgtnjyggtm:q24-2,cgtnjyggtm,cg_6a8e1757d1cd64cd,2
cgtnjyggtm:q24-20,cgtnjyggtm,cg_4781c370ac35071e,2
cgtnjyggtm:q24-25,cgtnjyggtm,cg_241a1cf0a8e43b49,0
cgtnjyggtm:q24-26,cgtnjyggtm,cg_225d073ef5169f15,1
cgtnjyggtm:q24-27,cgtnjyggtm,cg_faa7a17d46bbd1ca,0
cgtnjyggtm:q24-28,cgtnjyggtm,cg_a2239c04e156c8f3,2
cgtnjyggtm:q24-29,cgtnjyggtm,cg_31448f2fd1bc6ab6,1
cgtnjyggtm:q24-31,cgtnjyggtm,cg_f356cc1b85a729ea,0
cgtnjyggtm:q24-32,cgtnjyggtm,cg_7375d6f850c5f9e2,0
cgtnjyggtm:q24-33,cgtnjyggtm,cg_1f3b65d59663f9df,1
cgtnjyggtm:q24-34,cgtnjyggtm,cg_aab0af98da0c94eb,0
cgtnjyggtm:q24-37,cgtnjyggtm,cg_2ee766de56118a33,1
cgtnjyggtm:q24-38,cgtnjyggtm,cg_32c339f0600cd27f,2
cgtnjyggtm:q24-39,cgtnjyggtm,cg_896e5f13aa312abe,2
cgtnjyggtm:q24-4,cgtnjyggtm,cg_053985a8e4f43e0b,2
cgtnjyggtm:q24-40,cgtnjyggtm,cg_46b4adef6a8c88f3,1
cgtnjyggtm:q24-41,cgtnjyggtm,cg_2d9148e727ec29ab,1
cgtnjyggtm:q24-45,cgtnjyggtm,cg_45fc094d021659f8,1
cgtnjyggtm:q24-46,cgtnjyggtm,cg_6bfdaced7d2b5bf3,0
cgtnjyggtm:q24-49,cgtnjyggtm,cg_be3b8fef53d315d4,0
cgtnjyggtm:q24-5,cgtnjyggtm,cg_da21dc6f10d1d990,0
cgtnjyggtm:q24-7,cgtnjyggtm,cg_f9918011ab7eff31,0
cgtnjyggtm:q24-8,cgtnjyggtm,cg_8f0a2752732889f6,1
w68dtmpfyf:q16-1,w68dtmpfyf,cg_fb02413e59ce6155,0
w68dtmpfyf:q16-10,w68dtmpfyf,cg_c2c7ddd46655ba56,0
w68dtmpfyf:q16-12,w68dtmpfyf,cg_8e2db126e74b8a90,0
w68dtmpfyf:q16-16,w68dtmpfyf,cg_a9d5feb41d10160a,0
w68dtmpfyf:q16-17,w68dtmpfyf,cg_ea926073d033193e,0
w68dtmpfyf:q16-19,w68dtmpfyf,cg_09f55d59cd17f987,1
w68dtmpfyf:q16-20,w68dtmpfyf,cg_a1b1130097acb8c4,0
w68dtmpfyf:q16-21,w68dtmpfyf,cg_d77344d187a3267b,0
w68dtmpfyf:q16-22,w68dtmpfyf,cg_f845bc31bfb448b3,1
w68dtmpfyf:q16-23,w68dtmpfyf,cg_bed783d957d292db,1
w68dtmpfyf:q16-26,w68dtmpfyf,cg_44520703869fedb6,2
w68dtmpfyf:q16-27,w68dtmpfyf,cg_571056aab3ab6ab7,1
w68dtmpfyf:q16-30,w68dtmpfyf,cg_bee5ab8a92b4af70,2
w68dtmpfyf:q16-31,w68dtmpfyf,cg_9c54f63456cd338f,2
w68dtmpfyf:q16-32,w68dtmpfyf,cg_09796b91b91be056,2
w68dtmpfyf:q16-34,w68dtmpfyf,cg_e0934f3f68a405b2,2
w68dtmpfyf:q16-35,w68dtmpfyf,cg_a71ba584dc3f4edb,1
w68dtmpfyf:q16-36,w68dtmpfyf,cg_74361971d6b32cf7,0
w68dtmpfyf:q16-37,w68dtmpfyf,cg_3fb8cff46ea6c70d,2
w68dtmpfyf:q16-40,w68dtmpfyf,cg_66341cccfb649c4a,0
w68dtmpfyf:q16-41,w68dtmpfyf,cg_cd27206d68daeed1,1
w68dtmpfyf:q16-42,w68dtmpfyf,cg_b9ba7d2b16c5c8bd,1
w68dtmpfyf:q16-7,w68dtmpfyf,cg_fe3d068420d48e8b,1
w68dtmpfyf:q16-8,w68dtmpfyf,cg_6bcfd189af907c0c,2
w68dtmpfyf:q16-9,w68dtmpfyf,cg_7e1cbf3933431b29,2
xcmzfsbd9t:c24-11t,xcmzfsbd9t,cg_0fca9fe6e18bf882,0
xcmzfsbd9t:c24-13,xcmzfsbd9t,cg_eddeeb21a82f999f,0
xcmzfsbd9t:c24-14,xcmzfsbd9t,cg_b872766beb8f3792,0
xcmzfsbd9t:c24-15,xcmzfsbd9t,cg_b872766beb8f3792,0
xcmzfsbd9t:c24-16,xcmzfsbd9t,cg_eddeeb21a82f999f,0
xcmzfsbd9t:c24-17,xcmzfsbd9t,cg_8419606a48868b93,1
xcmzfsbd9t:c24-18,xcmzfsbd9t,cg_8419606a48868b93,1
xcmzfsbd9t:c24-2,xcmzfsbd9t,cg_b26d1c908a126477,2
xcmzfsbd9t:c24-20,xcmzfsbd9t,cg_4727e52185e52b61,2
xcmzfsbd9t:c24-21,xcmzfsbd9t,cg_4727e52185e52b61,2
xcmzfsbd9t:c24-26,xcmzfsbd9t,cg_3d4777af33de9c8f,2
