specimen_key,dataset_id,split,author_cai_mpa,label_source_sha256,scoring_only_for_test
74t7kcdgkr:c8-10t,74t7kcdgkr,TEST,204.1723320631655,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-11,74t7kcdgkr,TRAIN,196.7274812860085,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-12,74t7kcdgkr,VALID,197.9714455514628,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-12t,74t7kcdgkr,TRAIN,258.1463795730097,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-13,74t7kcdgkr,VALID,266.5553825630658,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-14,74t7kcdgkr,TRAIN,264.9944318051024,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-15,74t7kcdgkr,TRAIN,275.7018365693511,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-16,74t7kcdgkr,VALID,264.1634406853025,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-17,74t7kcdgkr,TEST,274.4959685649026,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-18,74t7kcdgkr,TEST,270.34150847494,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-19,74t7kcdgkr,TRAIN,254.6500936806725,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-2,74t7kcdgkr,VALID,163.8615940758297,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-20,74t7kcdgkr,TRAIN,209.1730625104266,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-21,74t7kcdgkr,VALID,263.1039895965736,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-22,74t7kcdgkr,TEST,272.7656416304013,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-23,74t7kcdgkr,TRAIN,262.4040932275472,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-24,74t7kcdgkr,TEST,259.85022005159,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-25,74t7kcdgkr,TRAIN,269.5171308230499,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-26,74t7kcdgkr,TRAIN,271.9633956905797,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-27,74t7kcdgkr,TEST,260.1399524079116,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-28,74t7kcdgkr,VALID,282.8260906114969,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-29,74t7kcdgkr,TRAIN,274.0451959676628,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-3,74t7kcdgkr,VALID,213.0992747395474,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-30,74t7kcdgkr,TEST,274.6988259415933,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-32,74t7kcdgkr,TRAIN,193.220193067167,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-33,74t7kcdgkr,TRAIN,193.6115527972501,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-34,74t7kcdgkr,TRAIN,212.6334580022977,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-35,74t7kcdgkr,TEST,182.7507942064879,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-36,74t7kcdgkr,TRAIN,175.8122184207168,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-37,74t7kcdgkr,TRAIN,212.7145773024425,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-38,74t7kcdgkr,TRAIN,220.5684059354834,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-39,74t7kcdgkr,VALID,168.5182853068995,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-4,74t7kcdgkr,TEST,186.2374222753387,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-40,74t7kcdgkr,TRAIN,210.6279258606018,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-41,74t7kcdgkr,TRAIN,265.4783081525837,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-42,74t7kcdgkr,TRAIN,197.567061367577,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-43,74t7kcdgkr,VALID,199.8341311245278,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-5,74t7kcdgkr,TRAIN,196.9063596228532,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-6,74t7kcdgkr,TRAIN,184.7042969965568,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-6t,74t7kcdgkr,TRAIN,199.8018654485439,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-7,74t7kcdgkr,TRAIN,170.6015501705568,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-8,74t7kcdgkr,TEST,182.5012566840132,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-8t,74t7kcdgkr,TRAIN,216.3685465654312,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
74t7kcdgkr:c8-9,74t7kcdgkr,TEST,201.0880996580271,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,True
74t7kcdgkr:c8-9t,74t7kcdgkr,TRAIN,190.1312332847148,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
cgtnjyggtm:q24-1,cgtnjyggtm,TRAIN,322.2297544186276,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
cgtnjyggtm:q24-10,cgtnjyggtm,TRAIN,336.4184725438619,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,False
