specimen_key,dataset_id,dataset_version,specimen_id,capture_group_id,author_cai_mpa,label_source_path,label_source_sheet,label_source_cell,label_source_sha256,label_source_dataset_version,cscan_source_path,cscan_source_sha256,cscan_panel_index,registered_cscan_crop_path,registered_cscan_crop_sha256,registered_cscan_height_px,registered_cscan_width_px,impacted_surface_path,surface_sha256,identity_status,p0r_roster_status,v2_member,split
74t7kcdgkr:c8-10t,74t7kcdgkr,1,c8-10t,cg_eb365745c2b9b60c,204.1723320631655,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C7,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/C8-10t.jpg,757efdacd2eb9319e137e373378c510c57875fb0d14f2c6a21accd329852fc57,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-10t.png,090d622f8e50cac912a20202dd01b4b0ae8ce5450432faefe0bc71e2179b8835,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-10t.png,3180ac8f58ece64ab33ba77aff88e3d4a5dca55a350cd9738feab53d772e1b79,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TEST
74t7kcdgkr:c8-11,74t7kcdgkr,1,c8-11,cg_dddfa79b65fe4ec3,196.7274812860085,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C26,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-7and11.jpg,ed33c60dd2ae0767d4c85627d6540c9a083658895399f3848f5b855b973900eb,1,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-11.png,d20944f5270d9747d0ea859720e260fb71565c5a02e3b16a82ee60b252252294,338,352,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-11.png,46773728bd6f2cadee11d8e7d384719930d6f2b92c7fa1bae46dbce3a95ed811,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-12,74t7kcdgkr,1,c8-12,cg_306e4a499acc46c1,197.9714455514628,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C27,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-10and12.jpg,5e8d5044578091416ffb4416935528bc2bcae39907f8ca5d695a66efd0004a6d,1,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-12.png,89f4ee717122fd03ef0261c42911fa721f4b5ce4467b63904c966d9302fd43d9,338,352,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12.png,34505c44d206fb8bea8f8ef69c936745f99d0ea5522729fcc09385075a4c72ec,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,VALID
74t7kcdgkr:c8-12t,74t7kcdgkr,1,c8-12t,cg_dce34b4d1a75ca03,258.1463795730097,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C9,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/C8-12t.jpg,c8acbcef3681cf57b62b53d99fe41d3ccfb44b20cc2159adb3eabfcbb0f2468e,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-12t.png,42b00aa0a8b4a96a2014db60374d103c25da1bba9ca0e0bf36e94ae33e4cce48,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12t.png,870ebb51c5ebc4165e5c35563664017e287b7318ff5032aa1e23b25e76b19e8d,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-13,74t7kcdgkr,1,c8-13,cg_f6941b7d17a6b65f,266.5553825630658,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C28,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-13and16.jpg,b7f1462b92650fcb30200ea002158bb3aae9862bb6b1f6200ce281c543bd506f,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-13.png,4dc6ce2a1003d7addfb010a949db3e2ae3e680f6fdc41ad18d4a88166a3c86f7,338,340,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-13.png,b3825d1dfcd6a49cca2e45224b9763bba870223cd93a9af68b4540bed21d162a,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,VALID
74t7kcdgkr:c8-14,74t7kcdgkr,1,c8-14,cg_de36842ceb0b669d,264.9944318051024,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C29,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-14and15.jpg,efc3f64dbf227a4c2d21c6b8114b361eef31e0a843cdfef14e5bacc8c8599623,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-14.png,6829c1a1db8c1f9f71c91466c587cae3c4e5f1280dedc93c95b5bd344e4b93d4,338,340,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-14.png,efe859284f43600acf564be72ea5ac98068fc77d3731dfb37ec95a0fb38873af,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-15,74t7kcdgkr,1,c8-15,cg_de36842ceb0b669d,275.7018365693511,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C30,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-14and15.jpg,efc3f64dbf227a4c2d21c6b8114b361eef31e0a843cdfef14e5bacc8c8599623,1,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-15.png,a0dd12f97eaf396b8c4c08b60d3a58c524c7e511fedacdd19b5a09f78c586ead,338,352,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-15.png,559b8c4abab9391aaf95c7c1c12fa0100fab1c94d162a4d736fc24052b97cb5b,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,True,TRAIN
74t7kcdgkr:c8-16,74t7kcdgkr,1,c8-16,cg_f6941b7d17a6b65f,264.1634406853025,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C31,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-13and16.jpg,b7f1462b92650fcb30200ea002158bb3aae9862bb6b1f6200ce281c543bd506f,1,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-16.png,234a50307f16631456e3cfcac69b111a854d67d954381ada8e29ccd2199e9100,338,352,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-16.png,bf5971dfb981f6c3302d850db26b26785c575f3d51249a5e6625919bd101845a,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,VALID
74t7kcdgkr:c8-17,74t7kcdgkr,1,c8-17,cg_f04da9567cc16056,274.4959685649026,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C32,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-17and18.jpg,5774657117aee1ea70843992f9ed81963a09880fe43193ad6170dbdc1852c3ea,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-17.png,2b257727cd7cae92f4c6b84353ecd471ecfcdefd45d1fcd83a59d7801b0810a4,338,340,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-17.png,803e4d6b272d2f25ddb3b6e6a1245ac16a376af36cb72ccc5332f5d9940b951e,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TEST
74t7kcdgkr:c8-18,74t7kcdgkr,1,c8-18,cg_f04da9567cc16056,270.34150847494,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C33,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-17and18.jpg,5774657117aee1ea70843992f9ed81963a09880fe43193ad6170dbdc1852c3ea,1,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-18.png,78b9da1a0593837752e6f1717eb40240d125ddcc6f34ce8196f3e3f96d39ac3e,338,352,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-18.png,b5d2533252e978dfd07525f8ad1a7478eec213c848f075b62016a14ed44189e6,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TEST
