specimen_key,dataset_id,specimen_id,capture_group_id,split,v2_member
74t7kcdgkr:c8-10t,74t7kcdgkr,c8-10t,cg_eb365745c2b9b60c,TEST,False
74t7kcdgkr:c8-11,74t7kcdgkr,c8-11,cg_dddfa79b65fe4ec3,TRAIN,False
74t7kcdgkr:c8-12,74t7kcdgkr,c8-12,cg_306e4a499acc46c1,VALID,False
74t7kcdgkr:c8-12t,74t7kcdgkr,c8-12t,cg_dce34b4d1a75ca03,TRAIN,False
74t7kcdgkr:c8-13,74t7kcdgkr,c8-13,cg_f6941b7d17a6b65f,VALID,False
74t7kcdgkr:c8-14,74t7kcdgkr,c8-14,cg_de36842ceb0b669d,TRAIN,False
74t7kcdgkr:c8-15,74t7kcdgkr,c8-15,cg_de36842ceb0b669d,TRAIN,True
74t7kcdgkr:c8-16,74t7kcdgkr,c8-16,cg_f6941b7d17a6b65f,VALID,False
74t7kcdgkr:c8-17,74t7kcdgkr,c8-17,cg_f04da9567cc16056,TEST,False
74t7kcdgkr:c8-18,74t7kcdgkr,c8-18,cg_f04da9567cc16056,TEST,False
74t7kcdgkr:c8-19,74t7kcdgkr,c8-19,cg_436f4e4305ab635d,TRAIN,False
74t7kcdgkr:c8-2,74t7kcdgkr,c8-2,cg_8ffe4fd6a878d7f3,VALID,True
74t7kcdgkr:c8-20,74t7kcdgkr,c8-20,cg_fc2b47129dab53b5,TRAIN,True
74t7kcdgkr:c8-21,74t7kcdgkr,c8-21,cg_49d6f1237b716b24,VALID,True
74t7kcdgkr:c8-22,74t7kcdgkr,c8-22,cg_b46906446d6551d5,TEST,False
74t7kcdgkr:c8-23,74t7kcdgkr,c8-23,cg_5664e5fd63a64397,TRAIN,False
74t7kcdgkr:c8-24,74t7kcdgkr,c8-24,cg_9393eeb13d9e0e91,TEST,True
74t7kcdgkr:c8-25,74t7kcdgkr,c8-25,cg_3b33997b939ad827,TRAIN,False
74t7kcdgkr:c8-26,74t7kcdgkr,c8-26,cg_7cd21ddf912f3237,TRAIN,False
74t7kcdgkr:c8-27,74t7kcdgkr,c8-27,cg_a60263adbdce1bca,TEST,False
74t7kcdgkr:c8-28,74t7kcdgkr,c8-28,cg_a983245f10699099,VALID,True
74t7kcdgkr:c8-29,74t7kcdgkr,c8-29,cg_ff1326048205fdc3,TRAIN,False
74t7kcdgkr:c8-3,74t7kcdgkr,c8-3,cg_8ffe4fd6a878d7f3,VALID,False
74t7kcdgkr:c8-30,74t7kcdgkr,c8-30,cg_9c9387dce9e35a94,TEST,False
74t7kcdgkr:c8-32,74t7kcdgkr,c8-32,cg_ba578a95be7f383b,TRAIN,True
74t7kcdgkr:c8-33,74t7kcdgkr,c8-33,cg_2508a9d6037ebb4d,TRAIN,False
74t7kcdgkr:c8-34,74t7kcdgkr,c8-34,cg_df8537af42eeb5c9,TRAIN,False
74t7kcdgkr:c8-35,74t7kcdgkr,c8-35,cg_aaeec4f3370a0403,TEST,False
74t7kcdgkr:c8-36,74t7kcdgkr,c8-36,cg_e40bd92cc201b5b1,TRAIN,False
