specimen_key,dataset_id,specimen_id,capture_group_id,split,target_present_in_bank,feature_source,surface_source_sha256,surface_render_sha256,cscan_file_sha256,cscan_array_sha256,shard_path,shard_index,shard_sha256
74t7kcdgkr:c8-10t,74t7kcdgkr,c8-10t,cg_eb365745c2b9b60c,TEST,False,ENCODED_V3,3180ac8f58ece64ab33ba77aff88e3d4a5dca55a350cd9738feab53d772e1b79,443657673fee00a9155e0b4fc75773025902f2bd20f2c395df6411396c8cf071,090d622f8e50cac912a20202dd01b4b0ae8ce5450432faefe0bc71e2179b8835,2a46ef70bf12802f8d4a7ae5be68a8876d0e148cb3fad556d9a2c1714d87b015,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,0,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
74t7kcdgkr:c8-11,74t7kcdgkr,c8-11,cg_dddfa79b65fe4ec3,TRAIN,True,ENCODED_V3,46773728bd6f2cadee11d8e7d384719930d6f2b92c7fa1bae46dbce3a95ed811,00b2b72ca4371c79aef481868ca66d8cbaf3908142f4456c75ff9c306438256d,d20944f5270d9747d0ea859720e260fb71565c5a02e3b16a82ee60b252252294,eec874e9954220e91170b8cf8064e722e2fbba14f6a404afcfef89e44fa6847f,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,1,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
74t7kcdgkr:c8-12,74t7kcdgkr,c8-12,cg_306e4a499acc46c1,VALID,True,ENCODED_V3,34505c44d206fb8bea8f8ef69c936745f99d0ea5522729fcc09385075a4c72ec,b7a0a816769d729a6e6f7fa5b981cabd064108997232d9e44164355960ea584f,89f4ee717122fd03ef0261c42911fa721f4b5ce4467b63904c966d9302fd43d9,3195070127d1a584b69332f1c26f913176ef098549f7e1ea7d5402ad4f49865c,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,2,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
74t7kcdgkr:c8-12t,74t7kcdgkr,c8-12t,cg_dce34b4d1a75ca03,TRAIN,True,ENCODED_V3,870ebb51c5ebc4165e5c35563664017e287b7318ff5032aa1e23b25e76b19e8d,4f9d1ac5d00003125d3fa8c9cdd159a3a326dfd1801c08e7f0de75e736829e09,42b00aa0a8b4a96a2014db60374d103c25da1bba9ca0e0bf36e94ae33e4cce48,7bf1c3fbe3be3d2e65dedea8d45762efd5e47c23fc3dada65305d415cfe83cf9,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,3,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
74t7kcdgkr:c8-13,74t7kcdgkr,c8-13,cg_f6941b7d17a6b65f,VALID,True,ENCODED_V3,b3825d1dfcd6a49cca2e45224b9763bba870223cd93a9af68b4540bed21d162a,e384e84af9dcaa57882cfbf179019cb02724af2d683c1692e56636f36e142d07,4dc6ce2a1003d7addfb010a949db3e2ae3e680f6fdc41ad18d4a88166a3c86f7,32eb10deb27a9a074b0464cd046d21426a2658b5aefc152c7b292f459e005c7b,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,4,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
74t7kcdgkr:c8-14,74t7kcdgkr,c8-14,cg_de36842ceb0b669d,TRAIN,True,ENCODED_V3,efe859284f43600acf564be72ea5ac98068fc77d3731dfb37ec95a0fb38873af,9091507e6b6c5373355f4b7ab4106bd3374cf3b3652abf27271c57d2fc6f1e79,6829c1a1db8c1f9f71c91466c587cae3c4e5f1280dedc93c95b5bd344e4b93d4,5451221fa9b85e2ec33cc41b7a7d67968c45ad833ce1d82c6a7e6d9c091a150a,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,5,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
74t7kcdgkr:c8-15,74t7kcdgkr,c8-15,cg_de36842ceb0b669d,TRAIN,True,REUSED_V2,559b8c4abab9391aaf95c7c1c12fa0100fab1c94d162a4d736fc24052b97cb5b,080f6ec03a5b68d43313bf913d4335aecb0bc4de8fe9471fd4fdf71b5a1dfcc2,a0dd12f97eaf396b8c4c08b60d3a58c524c7e511fedacdd19b5a09f78c586ead,12ce260bb486f0ed43857398efd1dfd96ffcb38b6976a1c699fe3f061126daf9,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,6,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
74t7kcdgkr:c8-16,74t7kcdgkr,c8-16,cg_f6941b7d17a6b65f,VALID,True,ENCODED_V3,bf5971dfb981f6c3302d850db26b26785c575f3d51249a5e6625919bd101845a,bae76556ef388489255bf1f2d5e2638aa7a81a951a6c0b834c01dfb778ac903f,234a50307f16631456e3cfcac69b111a854d67d954381ada8e29ccd2199e9100,f8e17cf8a95f98710940bfbbb262158d06db4965b28df3cf3b495eb730c4bde8,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,7,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
74t7kcdgkr:c8-17,74t7kcdgkr,c8-17,cg_f04da9567cc16056,TEST,False,ENCODED_V3,803e4d6b272d2f25ddb3b6e6a1245ac16a376af36cb72ccc5332f5d9940b951e,8fe11196155790c5d41f00ee4db6f3309881fdbd6e89940b947bd4cb3d0b4e0a,2b257727cd7cae92f4c6b84353ecd471ecfcdefd45d1fcd83a59d7801b0810a4,cd5d24fcbff9ddbef40c40a7b618b22acbf04d43ff4144181c227f75d8dc7811,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,8,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
74t7kcdgkr:c8-18,74t7kcdgkr,c8-18,cg_f04da9567cc16056,TEST,False,ENCODED_V3,b5d2533252e978dfd07525f8ad1a7478eec213c848f075b62016a14ed44189e6,2991fd7d576dc218b0e6f586587ceaa4d27742149e3e9abea85180c845af4660,78b9da1a0593837752e6f1717eb40240d125ddcc6f34ce8196f3e3f96d39ac3e,809eb600a24a2d87c5525c2a6e9d2cdb0cd0e1cbae6981a699aae0b42eec224b,results/cai_agent_v3/new_protocol/feature_bank_74t7kcdgkr.npz,9,3b209bf44d3dd5db4e7f1ce9389f26305bcf472b59b6b275307b54b64b1f8cdf
