outer_target,specimen_id,specimen_sha256,role
74t7kcdgkr,c8-10t,f2d63040427a0b884f7705acb8fb1fc944ff243a5a51041ae020477b45bc9e88,HELD_OUT_TARGET
74t7kcdgkr,c8-11,cf5a6c443f1e30cc75680846358e6c3f1df55d908737ae1ce8cdffc5ac4cc152,HELD_OUT_TARGET
74t7kcdgkr,c8-12,7abb763fccc8c8dcfd10fdcc6c29767a22b8ae72ae10e45c76823a26e29f7dcd,HELD_OUT_TARGET
74t7kcdgkr,c8-12t,1dfc1268c41e19eb76a4a832aec4927a43cc00cd092628d5591048aedf506c92,HELD_OUT_TARGET
74t7kcdgkr,c8-13,c5d70910a36a04f155aed1a04054259317b70d1bd6b26c456821807b9d2ed243,HELD_OUT_TARGET
74t7kcdgkr,c8-14,c250b86cc23974ad73bed9164e9c130f7a85f03b9263de3385e171a3d89be1df,HELD_OUT_TARGET
74t7kcdgkr,c8-15,d219aecf237b54c4e5e8d1b2bd9f6a0010a23e9abb53c3396f7bcdb0b3d52648,HELD_OUT_TARGET
74t7kcdgkr,c8-16,e77c7b99ae4a7bac6315c76df106362355092d5042a0d9a4e186490f285a5f92,HELD_OUT_TARGET
74t7kcdgkr,c8-17,2d52e10408edf0c4f47911eb6fced94a1a6c41dea1956432a782dfad77671163,HELD_OUT_TARGET
74t7kcdgkr,c8-18,79b189e79aa4d08bf2797848426b158cc07ef9adf9ab3f7d00043739f74d4615,HELD_OUT_TARGET
74t7kcdgkr,c8-19,f2fde55bb3a687cfd17682028b7c2a71c7c65509bb61b9fb2d8b58babb1df4ee,HELD_OUT_TARGET
74t7kcdgkr,c8-2,d4e2a2e9eda8bd5dc9bce9396b576e024708bd778328e1701d5ab6e9f94143a2,HELD_OUT_TARGET
74t7kcdgkr,c8-20,b5b5ff1b0a90598e9f6bf1c5decb86d1d58cda0012011ee77874afc1cbd0650d,HELD_OUT_TARGET
74t7kcdgkr,c8-21,c2bb6d13ee20d4f368edb31f7e7cc5ebabe29d7b0998a777bfc134f73f39216d,HELD_OUT_TARGET
74t7kcdgkr,c8-22,5a59af90787b01fdec76dbaf6df99ad13367fdbc52529cc59f344fd630c409f6,HELD_OUT_TARGET
74t7kcdgkr,c8-23,87cf8607885dc17d4e88d3daa15c8c75fa744b812e0f88df13009f23b979226c,HELD_OUT_TARGET
74t7kcdgkr,c8-24,18a714c263f5bc1ab2b80a6fdf39a8b2d4cd7a85464b32748056c90b8558697d,HELD_OUT_TARGET
74t7kcdgkr,c8-25,a24c5815df30913e99aa5b539ddfe770057f912ae877c5d7a6ac115e356ae30f,HELD_OUT_TARGET
74t7kcdgkr,c8-26,41e5b7c831333fcb78799f7e62f84cc7fac79d650db609994f45d6a0029e2b70,HELD_OUT_TARGET
74t7kcdgkr,c8-27,05f3cebba538c47627b776431210fc621f9233d9d92a1396cef0f2931e8c6e20,HELD_OUT_TARGET
74t7kcdgkr,c8-28,396e3cb8cc7d750d971a7942b5e9267901a6a1710f965fc223476af5a571ccae,HELD_OUT_TARGET
74t7kcdgkr,c8-29,2e501e12ac5b0ec2a1180f28206e329551cd876f180efe2003d2718c2d09d94e,HELD_OUT_TARGET
74t7kcdgkr,c8-3,4accf717be55051d51809eff82035cf7f8e3e3d320af48bf34057c6616538d3f,HELD_OUT_TARGET
74t7kcdgkr,c8-30,a4beb9b8a39f1a40bc135bff32abf5621bb38616364b83212634fb8ccecfdf30,HELD_OUT_TARGET
74t7kcdgkr,c8-32,02437e43b2115946d164a22cf67b7ddec02dfe87c2e11617e09bb1334e792b11,HELD_OUT_TARGET
74t7kcdgkr,c8-33,8e4ecce19795ee4d6101ae38a0c3fd6ebadf2c9e0052d7f7e46816c2c149baa3,HELD_OUT_TARGET
74t7kcdgkr,c8-34,426b520e27e46dad426dba1ff5552725224a6d21284e54b07ec8e6b7352c7fae,HELD_OUT_TARGET
74t7kcdgkr,c8-35,861a85891c3a86747757d66646b39e6dea1713d72c5115216491d3f80372e133,HELD_OUT_TARGET
74t7kcdgkr,c8-36,0ca49383f104c9e28b461603de1d7c9005403093ffff64f8f8a718dc074cc2a2,HELD_OUT_TARGET
