claim_id,canonical_layer,chronology_class,paper_module,compressed_stage,visibility,main_role,supplement_role,main_figure,main_table,main_section,required_direction,required_scope,source_artifact
U1_MATCHED_FIELD,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I_CHARACTERIZATION,I-A_SPATIAL_AND_SPARSE,MAIN_HEADLINE,spatial information headline,full interval and domain detail,figure2a,table2,5.1.1,positive favors spatial field,matched strict nested LODO field comparison,results/p1_full_field_oracle/metrics.json
U1_SURFACE_FIELD,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I_CHARACTERIZATION,I-A_SPATIAL_AND_SPARSE,MAIN_SUPPORT,surface-to-field support,full interval and domain detail,figure2a,table2,5.1.1,positive favors spatial field,matched surface versus selected field comparison,results/p1_full_field_oracle/metrics.json
U1_INDEPENDENT_FIELD_SENSITIVITY,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I_CHARACTERIZATION,I-A_SPATIAL_AND_SPARSE,SUPPLEMENT_ONLY,none,independent-estimator sensitivity,none,none,none,lower MAE is better,independent estimator is not the matched confirmatory path,results/p1_full_field_oracle/domain_metrics.csv
U2_SPARSE_RETENTION,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I_CHARACTERIZATION,I-A_SPATIAL_AND_SPARSE,MAIN_HEADLINE,sparse-retention headline,full density protocol detail,figure2a,table2,5.1.1,higher retention is better,25 percent normalized-raster condition not scanner time,results/p5_sparse_scan/retention.csv
U2_SPARSE_GAIN,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I_CHARACTERIZATION,I-A_SPATIAL_AND_SPARSE,MAIN_SUPPORT,sparse-versus-surface support,full interval and domain detail,figure2a,table2,5.1.1,positive favors sparse field,retrospective normalized-raster sparse protocol,results/p5_sparse_scan/bootstrap.csv
U2_SPARSE_FULL_GAP,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I_CHARACTERIZATION,I-A_SPATIAL_AND_SPARSE,MAIN_SUPPORT,residual sparse-to-full gap,full interval and domain detail,figure2a,table2,5.1.1,positive means sparse is worse,sparse retains most but not all full-field gain,results/p5_sparse_scan/bootstrap.csv
U3_UNIFORM_ORACLE,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I_CHARACTERIZATION,I-B_TASK_CONDITIONED_SPATIAL_VALUE,MAIN_HEADLINE,mechanical-versus-uniform opportunity,full oracle interval and domains,figure2b,table2,5.1.2,positive favors mechanical oracle,retrospective one-shot exact-cost opportunity only,results/mvd/m0_one_shot_oracle/summary.json
U3_RECONSTRUCTION_ORACLE,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I_CHARACTERIZATION,I-B_TASK_CONDITIONED_SPATIAL_VALUE,MAIN_HEADLINE,mechanical-versus-reconstruction opportunity,full oracle interval and domains,figure2b,table2,5.1.2,positive favors mechanical oracle,retrospective one-shot exact-cost opportunity only,results/mvd/m0_one_shot_oracle/summary.json
U3_HEADROOM_RETENTION,Useful,PRE_P7_FROZEN_EVIDENCE,PART_I_CHARACTERIZATION,I-B_TASK_CONDITIONED_SPATIAL_VALUE,MAIN_SUPPORT,sequential-headroom retention,full oracle design detail,figure2b,table2,5.1.2,higher retention is better,one-shot result is retrospective and non-additive,results/mvd/m0_one_shot_oracle/summary.json
U4_ORACLE_CAI_SPECIFICITY,Useful,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-B_TASK_CONDITIONED_SPATIAL_VALUE,MAIN_HEADLINE,CAI objective specificity,full cross-objective interval,figure2b,table2,5.1.2,positive supports oracle task specificity,retrospective priorities do not prove learned-policy specificity,results/mavis_science_closure/p14_task_specificity/summary.json
