specimen_id,dataset_id,native_height,native_width,image_sha256,target
c8-2,74t7kcdgkr,338,340,2a4636f95444c53278b22acdee76cf7123442ffbf310fb2b4700ca7b64f57954,0.59067979631822698
c8-3,74t7kcdgkr,338,352,e6e77cc9b13aa9321d2bf77103474c08b9c88d9a3ab037008ef010c1cb5896a7,0.76816924007505905
c8-4,74t7kcdgkr,338,352,259485b737b1fa4536f5bc93b4db6d30a41b46e0549073847bb6334f8438b5b3,0.67133902411276003
c8-5,74t7kcdgkr,338,340,73f89721281271850882b456ef72a38d0ea7d59b2d3ab4e27ddfa54ceef75d09,0.70979785746479895
c8-6,74t7kcdgkr,338,352,dd422879e64dc2588dc58eb89af69338bf8a619229b66249e6e6bcd283befde7,0.665812493429908
c8-6t,74t7kcdgkr,674,675,4391215c4c9c08afa9eb4bb0a43990207917df963b1bef43105096b854486f7b,0.72023542705517996
c8-7,74t7kcdgkr,338,340,72d7c1d494d2958df01e3e7c815aaac5f350ce7e7941beb5e7088b34fadb8976,0.61497564133109195
c8-8,74t7kcdgkr,338,340,deaa56464ad0eb4c19b66f73847847a626994efe1008e1108ccc0088f891f1e6,0.65787108769396796
c8-8t,74t7kcdgkr,674,675,184e5d418e958c2d3b94056f8334ef86614cbc20c9480d7843a9887375ce547b,0.77995414200472202
c8-9,74t7kcdgkr,338,352,b6fb1ea0e6ffdfa5276a4a95a0fb33b86871cd341974fcc836c248468cb39aa8,0.72487197758527899
c8-9t,74t7kcdgkr,674,675,fc611b4c93553b7ff179254696bf75cde070663a8cd2a739919faa634bd5f518,0.68537523257815303
c8-10t,74t7kcdgkr,674,675,090d622f8e50cac912a20202dd01b4b0ae8ce5450432faefe0bc71e2179b8835,0.73598985898476099
c8-11,74t7kcdgkr,338,352,d20944f5270d9747d0ea859720e260fb71565c5a02e3b16a82ee60b252252294,0.70915304609109697
c8-12,74t7kcdgkr,338,352,89f4ee717122fd03ef0261c42911fa721f4b5ce4467b63904c966d9302fd43d9,0.71363722411395702
c8-12t,74t7kcdgkr,674,675,42b00aa0a8b4a96a2014db60374d103c25da1bba9ca0e0bf36e94ae33e4cce48,0.93055271289445496
c8-13,74t7kcdgkr,338,340,4dc6ce2a1003d7addfb010a949db3e2ae3e680f6fdc41ad18d4a88166a3c86f7,0.96086505180107495
c8-14,74t7kcdgkr,338,340,6829c1a1db8c1f9f71c91466c587cae3c4e5f1280dedc93c95b5bd344e4b93d4,0.95523821727052705
c8-15,74t7kcdgkr,338,352,a0dd12f97eaf396b8c4c08b60d3a58c524c7e511fedacdd19b5a09f78c586ead,0.99383571597614995
c8-16,74t7kcdgkr,338,352,234a50307f16631456e3cfcac69b111a854d67d954381ada8e29ccd2199e9100,0.95224270347637596
c8-17,74t7kcdgkr,338,340,2b257727cd7cae92f4c6b84353ecd471ecfcdefd45d1fcd83a59d7801b0810a4,0.98948886538390801
c8-18,74t7kcdgkr,338,352,78b9da1a0593837752e6f1717eb40240d125ddcc6f34ce8196f3e3f96d39ac3e,0.97451308259849401
c8-19,74t7kcdgkr,674,675,3e021ed85ba7b5f6664a410d373c67625fb30fe65f93387bfa98f0a151100008,0.91794948240348095
c8-20,74t7kcdgkr,674,675,89c9cccb85fc7dc6990631b0bc5dc1ccbca65acadfc261c9a53d4b4803804619,0.75401623336913104
c8-21,74t7kcdgkr,674,675,0242d92627e506c763859f498a6e0f4734f3cec576f154060e6b55f3e9594bf0,0.94842364900648102
