specimen_key,comparator,first_divergence_action_index,control_first_in_main_proposal,main_first_proposal_restricted,same_cost_error_gain_00625,interpretation
74t7kcdgkr:c8-12,VLM_SPATIAL_OPEN_LOOP,2,True,True,15.717788696289062,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
74t7kcdgkr:c8-13,VLM_SPATIAL_OPEN_LOOP,2,True,True,8.92431640625,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
74t7kcdgkr:c8-16,VLM_SPATIAL_OPEN_LOOP,2,True,True,1.139068603515625,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
74t7kcdgkr:c8-2,VLM_SPATIAL_OPEN_LOOP,1,True,True,5.61663818359375,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
74t7kcdgkr:c8-21,VLM_SPATIAL_OPEN_LOOP,4,True,True,1.9803466796875,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
74t7kcdgkr:c8-28,VLM_SPATIAL_OPEN_LOOP,1,True,False,0.0,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
74t7kcdgkr:c8-3,VLM_SPATIAL_OPEN_LOOP,3,True,True,-6.7489471435546875,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
74t7kcdgkr:c8-39,VLM_SPATIAL_OPEN_LOOP,3,True,True,5.0102691650390625,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
74t7kcdgkr:c8-43,VLM_SPATIAL_OPEN_LOOP,3,True,True,-8.904037475585938,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
cgtnjyggtm:q24-11,VLM_SPATIAL_OPEN_LOOP,3,True,True,9.207275390625,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
cgtnjyggtm:q24-22,VLM_SPATIAL_OPEN_LOOP,2,True,True,-6.552001953125,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
cgtnjyggtm:q24-24,VLM_SPATIAL_OPEN_LOOP,4,True,True,-0.581451416015625,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
cgtnjyggtm:q24-30,VLM_SPATIAL_OPEN_LOOP,3,True,True,-0.055145263671875,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
cgtnjyggtm:q24-44,VLM_SPATIAL_OPEN_LOOP,1,True,True,-5.123779296875,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
cgtnjyggtm:q24-47,VLM_SPATIAL_OPEN_LOOP,3,True,True,10.660797119140625,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
cgtnjyggtm:q24-48,VLM_SPATIAL_OPEN_LOOP,1,True,True,40.704803466796875,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
cgtnjyggtm:q24-6,VLM_SPATIAL_OPEN_LOOP,3,True,True,-2.67169189453125,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
cgtnjyggtm:q24-9,VLM_SPATIAL_OPEN_LOOP,1,True,True,0.177520751953125,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
w68dtmpfyf:q16-14,VLM_SPATIAL_OPEN_LOOP,2,True,True,-15.875762939453125,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
w68dtmpfyf:q16-2,VLM_SPATIAL_OPEN_LOOP,2,True,True,5.054412841796875,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
w68dtmpfyf:q16-29,VLM_SPATIAL_OPEN_LOOP,1,True,True,32.438323974609375,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
w68dtmpfyf:q16-3,VLM_SPATIAL_OPEN_LOOP,2,True,True,4.052154541015625,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
w68dtmpfyf:q16-33,VLM_SPATIAL_OPEN_LOOP,3,True,True,1.069671630859375,DESCRIPTIVE_ASSOCIATION_NOT_C0_CAUSATION
